id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
43662088,Cozy room in the centre of Munich!,61907767,Lara,,Altstadt-Lehel,48.13731,11.58779,Private room,35,20,15,2020-09-29,1.35,1,60
43683188,Cozy private room,164186636,Haritha,,Schwabing-West,48.17613,11.57568,Private room,30,15,0,,,2,113
43684260,Private room with balcony,182902758,Stelly,,Obergiesing,48.10156,11.59294,Private room,65,1,1,2020-07-03,0.08,1,364
43684875,Strategic location WG  Room  for Student Munich,270098671,Sameh,,Schwabing-West,48.16164,11.55463,Private room,28,1,1,2020-10-01,0.11,2,87
43693810,"Super zentrale, gemütliche Dachgeschosswohnung",16176999,Martina,,Maxvorstadt,48.15547,11.56732,Entire home/apt,65,7,0,,,1,63
43694650,Spacious and cosy family house,15948341,Vladimir,,Bogenhausen,48.16794,11.65656,Entire home/apt,84,185,2,2020-09-19,0.24,1,63
43696188,Munich Rooms Single,349016454,Selcuk,,Schwabing-West,48.16264,11.57782,Private room,109,1,0,,,3,324
43698018,Munich Rooms Double,349016454,Selcuk,,Schwabing-West,48.16264,11.57804,Private room,129,1,3,2021-06-03,0.28,3,347
43698502,Munich Rooms Bunk Bed Room,349016454,Selcuk,,Schwabing-West,48.16264,11.57804,Private room,118,1,5,2020-09-14,0.49,3,341
43708067,Munichsroom Quiet shinny great transport access.,27149319,Daniela,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09758,11.53142,Private room,29,1,0,,,1,294
43708556,French quarter studio with large balcony!,6924760,Blaine,,Au-Haidhausen,48.1343,11.59338,Entire home/apt,84,3,2,2020-08-01,0.17,1,0
43708761,Cozy Studio in Lively Giesing for your safe business trip,349149974,Urban Escapes,,Obergiesing,48.11501,11.57753,Entire home/apt,51,1,38,2021-06-12,3.12,9,362
43709034,Urban Studio For Your Safe Business Trip,349149974,Urban Escapes,,Obergiesing,48.11339,11.57896,Entire home/apt,55,1,19,2021-06-24,2.18,9,360
43709294,Nice And Central Studio For Your Safe Business Trip,349149974,Urban Escapes,,Obergiesing,48.11329,11.57828,Entire home/apt,74,1,37,2021-06-06,3.30,9,362
43713001,Cozy modern flat with big balcony munich,349196944,Nelly,,Schwabing-West,48.17376,11.56088,Entire home/apt,45,1,12,2020-09-25,0.98,1,4
43722049,Modern Studio In The Heart Of Munich For Your Safe Business Trip,349149974,Urban Escapes,,Obergiesing,48.11454,11.57755,Entire home/apt,67,1,24,2021-06-10,1.96,9,363
43723627,Stylish Studio For Your Safe Business Trip,349149974,Urban Escapes,,Obergiesing,48.11464,11.57763,Entire home/apt,52,1,20,2021-06-12,2.06,9,361
43736110,Neue Wohnung Pasing Nähe Schloss Nymphenburg max.4,326475360,Roberto,,Pasing-Obermenzing,48.15247,11.48087,Entire home/apt,110,7,2,2020-07-31,0.19,1,143
43748107,"Big, bright, fully furnished apartment near BMW",14473161,Yoana,,Moosach,48.17716,11.52424,Entire home/apt,75,10,0,,,2,328
43765954,Möbiliertes Zimmer in zentraler Umgebung,349770590,Naime,,Feldmoching-Hasenbergl,48.20064,11.55009,Private room,28,2,8,2020-10-19,0.64,1,0
43774476,Möblierte 2-Zimmer Wohnung mit Garten & Terrasse!,10504481,Julien,,Sendling-Westpark,48.10501,11.53184,Entire home/apt,59,10,3,2021-03-19,0.28,1,17
43796794,Neues Privatzimmer in Neubauwohnung Nähe S-Bahn,38211126,Christoph,,Pasing-Obermenzing,48.14778,11.47069,Private room,60,1,23,2020-12-06,1.97,2,0
43797086,Neues Privatzimmer in Neubauwohnung S-Bahn Nähe,38211126,Christoph,,Pasing-Obermenzing,48.14778,11.4699,Private room,80,1,6,2020-07-20,0.50,2,0
43804692,Spacious private room in central 3-room apartment,63125351,Mohamed,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09976,11.51887,Private room,50,1,1,2020-06-28,0.08,1,180
43814148,Premium Apartment 25 qm² with kitchenette & WiFi,196550623,Hanna,,Maxvorstadt,48.14203,11.55991,Private room,176,1,3,2021-06-01,0.69,7,316
43816374,Sehr schöne Wohnung in optimaler Lage!,17342956,Emily,,Schwabing-Freimann,48.16299,11.58266,Entire home/apt,110,2,0,,,1,0
43817508,Schöne 2-Zimmerwohnung direkt am Candidplatz,6634950,Michaela,,Untergiesing-Harlaching,48.11495,11.5695,Entire home/apt,120,2,0,,,1,165
43827179,Cosy apartment with garden close to city center,28088201,Sandrine,,Bogenhausen,48.14043,11.60965,Private room,52,3,0,,,2,0
43847629,🏅Cozy and new renovated near English Garden/messe✨,275075745,Linsi,,Bogenhausen,48.15907,11.61759,Entire home/apt,238,1,14,2020-08-30,1.19,2,303
43858648,Apartment in beautiful Haidhausen,162136684,Laura,,Au-Haidhausen,48.12386,11.59639,Entire home/apt,45,3,3,2020-07-09,0.26,1,0
43865000,Stilvoll eigerichtete Altbauwohnung,350905655,Paul Mauricio,,Neuhausen-Nymphenburg,48.15378,11.54071,Entire home/apt,99,5,1,2020-08-02,0.09,1,26
43880308,Penthouse Apt | Great connection to city,63881558,Philipp,,Moosach,48.1814,11.50868,Private room,35,30,0,,,1,134
43881616,Ferien im Herzen von München: Haus mit Garten,13692929,Claudina,,Bogenhausen,48.14994,11.64208,Entire home/apt,149,5,0,,,1,0
43885246,Modern City Home in Schwabing-West,20067688,Steven,,Schwabing-West,48.15682,11.57253,Entire home/apt,110,2,5,2020-08-16,1.29,1,210
43886780,"1 Zi App, balcony - best located in town",48047087,Fam,,Maxvorstadt,48.15096,11.57831,Entire home/apt,45,7,13,2021-06-14,2.00,3,9
43890349,"Dreibettzimmer mit Etagenbad im Hostel, Innenstadt",308052561,Euro Youth Hotel,,Ludwigsvorstadt-Isarvorstadt,48.1385,11.56028,Private room,500,1,50,2021-06-17,4.37,12,98
43902480,Premium Apartment 25 qm² with kitchenette & WiFi,196550623,Hanna,,Maxvorstadt,48.14387,11.56121,Private room,200,1,2,2020-12-09,0.20,7,353
43903018,Club Apartment 20 qm² with kitchentte & WiFi,196550623,Hanna,,Maxvorstadt,48.14352,11.55942,Private room,183,1,3,2021-01-17,0.52,7,353
